date,tmax
2021-02-19,19.6
2021-02-20,16.3
2021-02-21,13.6
2021-02-22,12.9
2021-02-23,15.3
2021-02-24,14.9
2021-02-25,13.9
2021-02-26,14.4
2021-02-27,13.2
2021-02-28,14.9
2021-03-01,15.9
2021-03-02,17.0
2021-03-03,17.2
2021-03-04,14.5
2021-03-05,13.4
2021-03-06,13.3
2021-03-07,14.6
2021-03-09,14.5
2021-03-10,16.7
2021-03-11,18.6
2021-03-12,18.2
2021-03-13,18.8
2021-03-14,19.5
2021-03-15,19.4
2021-03-16,18.1
2021-03-17,18.3
2021-03-18,19.4
2021-03-19,14.2
2021-03-20,13.9
2021-03-21,15.3
2021-03-22,17.7
2021-03-23,20.1
2021-03-24,22.0
2021-03-25,22.5
2021-03-26,23.0
2021-03-27,21.0
2021-03-28,17.0
2021-03-29,19.6
2021-03-30,21.4
2021-03-31,22.0
2021-04-01,22.1
2021-04-02,20.2
2021-04-03,20.6
2021-04-05,19.1
2021-04-06,25.0
2021-04-07,23.1
2021-04-08,15.6
2021-04-09,19.0
2021-04-10,20.0
2021-04-11,21.2
2021-04-12,19.4
2021-04-13,19.3
2021-04-14,15.2
2021-04-15,15.7
2021-04-16,17.6
2021-04-17,20.7
2021-04-18,22.0
2021-04-19,23.8
2021-04-20,21.5
2021-04-21,21.4
2021-04-22,22.2
2021-04-23,18.7
2021-04-24,16.2
2021-04-25,16.3
2021-04-26,18.4
2021-05-21,30.9
2021-05-22,28.7
2021-05-23,23.2
2021-05-24,26.1
2021-05-25,26.8
2021-05-26,24.4
2021-05-27,20.1
2021-05-28,25.1
2021-05-29,28.0
2021-05-30,25.9
2021-05-31,29.2
2021-06-01,25.8
2021-06-02,28.0
2021-06-03,27.3
2021-06-04,26.1
2021-06-05,22.7
2021-06-06,31.1
2021-06-07,30.0
2021-06-08,32.0
2021-06-09,33.3
2021-06-10,32.4
2021-06-11,30.9
2021-06-12,28.2
2021-06-13,29.5
2021-06-14,33.0
2021-06-15,31.2
