date,max,min
2016-01-05,14.4,4.9
2016-01-19,12.4,5.2
2016-01-20,16.5,5.4
2016-01-21,16.0,8.1
2016-01-22,18.1,10.4
2016-01-23,19.2,8.6
2016-01-24,18.9,12.0
2016-01-25,17.5,9.4
2016-01-26,16.1,5.6
2016-01-27,15.4,1.0
2016-01-28,13.9,2.4
2016-01-29,14.5,2.2
2016-01-30,15.2,4.4
2016-01-31,16.2,2.3
2016-02-01,22.0,2.0
2016-02-02,20.6,3.7
2016-02-03,16.3,3.8
2016-02-04,15.1,9.9
2016-02-05,16.2,11.0
2016-02-06,18.7,9.1
2016-02-07,14.9,7.3
2016-02-08,14.9,4.8
2016-02-09,16.1,4.8
2016-02-10,17.9,12.3
2016-02-11,17.2,12.3
2016-02-12,17.5,11.7
2016-02-13,17.0,13.2
2016-02-14,14.3,3.8
2016-02-15,12.1,3.4
2016-02-16,10.2,0.8
2016-02-17,11.9,-3.4
2016-02-18,10.9,3.5
2016-02-19,13.0,4.6
2016-02-20,17.2,0.4
2016-02-21,17.5,9.1
2016-02-22,18.8,5.0
2016-02-23,18.8,4.0
2016-02-24,15.3,1.6
2016-02-25,14.7,8.6
2016-02-26,14.1,5.3
2016-02-27,9.6,3.9
2016-02-28,13.3,3.3
2016-02-29,15.3,4.5
2016-03-01,17.2,1.9
2016-03-02,19.9,0.9
2016-03-03,17.5,4.6
2016-03-04,19.5,3.2
2016-03-05,13.8,4.8
2016-03-06,13.7,2.9
2016-03-07,13.5,1.5
2016-03-08,14.1,0.3
2016-03-09,16.0,-1.2
2016-03-10,15.8,5.2
2016-03-11,15.6,0.6
2016-03-12,17.6,-0.6
2016-03-13,19.2,0.4
2016-03-14,19.1,2.1
2016-03-15,15.8,6.5
2016-03-16,17.0,8.2
2016-03-17,19.7,4.0
2016-03-18,19.1,7.3
2016-03-19,17.5,7.6
2016-03-20,16.3,3.9
2016-03-21,14.0,4.2
2016-03-22,15.2,2.4
2016-03-23,15.4,6.2
2016-03-24,18.3,3.7
2016-03-25,21.1,3.5
2016-03-26,20.0,4.4
2016-03-27,18.9,8.6
2016-03-28,18.9,3.5
2016-03-29,24.5,3.5
2016-03-30,25.4,9.4
2016-03-31,15.8,6.5
2016-04-01,17.4,4.0
2016-04-02,20.0,1.5
2016-04-03,21.5,3.7
2016-04-04,15.4,8.5
2016-04-05,18.1,7.4
2016-04-06,21.1,7.3
2016-04-07,23.5,8.0
2016-04-08,18.6,8.3
2016-04-09,21.4,3.9
2016-04-10,16.8,4.9
2016-04-11,15.6,9.0
2016-04-12,16.1,8.8
2016-04-13,19.1,7.1
2016-04-14,23.4,5.2
2016-04-15,21.8,8.5
2016-04-16,22.6,9.9
2016-04-17,20.6,10.6
2016-04-18,22.4,8.8
2016-04-19,19.0,13.5
2016-04-20,18.3,8.2
2016-04-21,21.3,5.5
2016-04-22,21.6,11.4
2016-04-23,23.0,9.6
2016-04-24,24.9,11.7
2016-04-25,23.6,8.4
2016-04-26,27.5,9.2
2016-04-27,25.7,10.7
2016-04-28,24.3,11.4
2016-04-29,21.0,14.8
2016-04-30,27.0,14.0
2016-05-01,26.3,10.3
2016-05-02,22.0,13.0
2016-05-03,24.8,12.6
2016-05-04,24.0,16.8
2016-05-05,22.3,14.4
2016-05-06,19.5,13.1
2016-05-07,19.4,12.4
2016-05-08,15.7,12.6
2016-05-09,19.2,10.0
2016-05-10,16.4,9.7
2016-05-11,17.5,6.7
2016-05-12,16.9,10.1
2016-05-13,18.9,8.7
2016-05-14,21.2,10.2
2016-05-15,25.2,9.7
2016-05-16,27.1,10.6
2016-05-17,27.2,12.5
2016-05-18,28.6,14.7
2016-05-19,29.6,13.4
2016-05-20,27.9,14.7
2016-05-21,28.3,16.9
2016-05-22,26.6,11.2
2016-05-23,26.3,11.7
2016-05-24,30.9,16.7
2016-05-25,27.3,13.7
2016-05-26,27.0,11.5
2016-05-27,28.4,11.2
2016-05-28,24.7,11.7
2016-05-29,23.6,11.7
2016-05-30,26.4,10.1
2016-05-31,29.3,11.7
