date,max,min
2016-01-01,14.4,3.7
2016-01-02,10.2,5.4
2016-01-03,13.6,6.0
2016-01-04,14.1,6.6
2016-01-05,7.4,2.3
2016-01-06,10.6,2.6
2016-01-07,15.4,10.4
2016-01-08,14.6,8.5
2016-01-09,11.2,5.4
2016-01-10,11.6,8.5
2016-01-11,10.6,4.0
2016-01-12,9.8,1.6
2016-01-13,13.6,0.4
2016-01-14,12.1,4.5
2016-01-15,9.2,1.1
2016-01-16,8.5,-2.0
2016-01-17,7.0,-1.9
2016-01-18,10.7,4.5
2016-01-19,9.8,2.1
2016-01-20,11.4,1.5
2016-01-21,12.4,3.5
2016-01-22,14.2,8.8
2016-01-23,15.6,9.3
2016-01-24,19.7,6.8
2016-01-25,16.4,8.5
2016-01-26,14.0,6.1
2016-01-27,13.4,6.2
2016-01-28,7.9,5.7
2016-01-29,7.3,1.9
2016-01-30,11.9,0.7
2016-01-31,13.1,6.4
2016-02-01,14.4,6.2
2016-02-02,8.0,5.5
2016-02-03,12.1,3.5
2016-02-04,11.8,0.6
2016-02-05,13.3,-0.7
2016-02-06,12.7,-0.1
2016-02-07,9.0,2.6
2016-02-08,11.2,7.0
2016-02-09,12.1,8.3
2016-02-10,15.4,7.5
2016-02-11,14.6,8.5
2016-02-12,13.5,8.7
2016-02-13,13.5,8.9
2016-02-14,8.9,2.1
2016-02-15,7.8,1.4
2016-02-16,6.8,-0.9
2016-02-17,8.5,-3.1
2016-02-18,9.6,1.9
2016-02-19,10.0,-1.5
2016-02-20,14.3,-1.9
2016-02-21,13.9,0.3
2016-02-22,15.1,1.3
2016-02-23,14.1,2.7
2016-02-24,12.0,4.2
2016-02-25,11.3,4.3
2016-02-26,8.0,2.3
2016-02-27,7.0,0.2
2016-02-28,10.4,1.3
2016-02-29,12.5,-0.5
2016-03-01,16.0,-0.7
2016-03-02,14.4,4.3
2016-03-03,15.1,1.7
2016-03-04,12.3,2.6
2016-03-05,9.6,1.1
2016-03-06,10.5,-0.3
2016-03-07,10.6,2.9
2016-03-08,11.6,-0.4
2016-03-09,12.4,2.5
2016-03-10,13.5,0.7
2016-03-11,10.3,-0.9
2016-03-12,13.0,-2.0
2016-03-13,13.3,-1.1
2016-03-14,12.4,-1.9
2016-03-15,14.6,0.2
2016-03-16,15.3,0.8
2016-03-17,15.8,0.5
2016-03-18,12.7,1.8
2016-03-19,11.1,5.1
2016-03-20,13.3,3.8
2016-03-21,14.2,2.1
2016-03-22,14.1,5.6
2016-03-23,11.9,3.5
2016-03-24,17.8,-0.2
2016-03-25,16.3,5.0
2016-03-26,16.9,6.7
2016-03-27,13.0,3.1
2016-03-28,12.4,5.9
2016-03-29,17.0,8.2
2016-03-30,19.1,3.8
2016-03-31,11.3,1.8
2016-04-01,12.9,-0.3
2016-04-02,15.8,0.6
2016-04-03,11.3,6.9
2016-04-04,9.5,6.1
2016-04-05,15.1,3.6
2016-04-06,16.8,2.3
2016-04-07,18.1,3.5
2016-04-08,13.2,2.6
2016-04-09,16.0,3.7
2016-04-10,11.7,5.0
2016-04-11,11.5,4.8
2016-04-12,13.2,5.5
2016-04-13,14.9,3.9
2016-04-14,15.5,9.5
2016-04-15,15.8,9.5
2016-04-16,15.8,8.1
2016-04-17,14.9,5.6
2016-04-18,21.3,3.4
2016-04-19,18.7,10.3
2016-04-20,14.8,8.2
2016-04-21,16.8,7.9
2016-04-22,16.2,8.4
2016-04-23,16.7,7.6
2016-04-24,17.1,5.7
2016-04-25,18.5,4.3
2016-04-26,21.8,5.0
2016-04-27,16.4,8.3
2016-04-28,15.6,7.7
2016-04-29,19.4,3.5
2016-04-30,17.4,6.0
2016-05-01,16.8,1.9
2016-05-02,21.9,3.5
2016-05-03,24.9,5.6
2016-05-04,27.2,6.3
2016-05-05,20.0,12.5
2016-05-06,19.3,10.8
2016-05-07,16.5,8.7
2016-05-08,17.4,7.8
2016-05-09,15.9,8.5
2016-05-10,16.2,6.5
2016-05-11,14.9,6.8
2016-05-12,16.0,7.3
2016-05-13,16.4,8.5
2016-05-14,16.3,9.3
2016-05-15,20.9,10.4
2016-05-16,22.6,6.7
2016-05-17,23.8,9.1
2016-05-18,23.6,9.8
2016-05-19,24.7,7.9
2016-05-20,28.4,10.0
